Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness
Belize,17.25,-88.75,Present,,Not recorded,Introduced,Not recorded,Invasive
British Virgin Islands,43969.00,-64.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Cayman Islands,43970.00,-8066667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Costa Rica,10.00,-84.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Cuba,22.00,-79.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Dominica,43966.00,-6133333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Dominican Republic,19.00,-7066667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
El Salvador,1383333.00,-8891667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Grenada,1211667.00,-6166667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Guadeloupe,16.25,-6158333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Guatemala,43966.00,-90.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Haiti,1907582.00,-7229616.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Honduras,15.00,-86.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Jamaica,1816667.00,-77.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Martinique,1466667.00,-61.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Mexico,23.00,-102.00,Present,Widespread,Not recorded,Introduced,Not recorded,Invasive
Nicaragua,13.00,-85.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Panama,9.00,-80.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Puerto Rico,1824829.00,-6649989.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Saint Lucia,1388333.00,-6096667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Saint Vincent and the Grenadines,1308333.00,-61.20,Present,,Not recorded,Introduced,Not recorded,Invasive
Trinidad and Tobago,11.00,-61.00,Present,,Not recorded,Introduced,Not recorded,Invasive
U.S. Virgin Islands,1834829.00,-6498348.00,Present,,Not recorded,Introduced,Not recorded,Invasive
United States,39.76,-98.50,Present,Localized,Not recorded,Introduced,Not recorded,
 - Florida,2875054.00,-825001.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Hawaii,2078785.00,-15638612.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Australia,-25.00,135.00,Present,Localized,Not recorded,Introduced,Not recorded,Invasive
 - New South Wales,-33.00,146.00,Present,Localized,Not recorded,Introduced,Not recorded,Invasive
 - Northern Territory,-20.00,134.00,Present,Few occurrences,Not recorded,Introduced,Not recorded,Invasive
 - Queensland,-20.00,145.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Western Australia,-25.00,122.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Federated States of Micronesia,6924.00,158162.00,Present,,Not recorded,,Not recorded,
Fiji,-18.00,178.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Guam,1347861.00,14481834.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Marshall Islands,7113.00,171236.00,Present,,Not recorded,,Not recorded,
Northern Mariana Islands,15214.00,145756.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Papua New Guinea,-6.00,147.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Tonga,-20.00,-175.00,Present,,Not recorded,,Not recorded,
Brazil,-10.00,-55.00,Present,Localized,Not recorded,Introduced,Not recorded,
 - Alagoas,-958333.00,-3641667.00,Present,,Not recorded,,Not recorded,
 - Amazonas,-3.75,-64.50,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Bahia,-12.00,-42.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Ceara,-5.00,-39.50,Present,,Not recorded,,Not recorded,
 - Espirito Santo,-20.00,-40.75,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Goias,-1558071.00,-4963623.00,Present,,Not recorded,,Not recorded,
 - Minas Gerais,-18.00,-44.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Para,-4.00,-53.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Parana,-24.50,-5133333.00,Present,,Not recorded,,Not recorded,
 - Pernambuco,-833333.00,-37.75,Present,,Not recorded,,Not recorded,
 - Rio Grande do Norte,-5.75,-36.50,Present,,Not recorded,,Not recorded,
 - Rio Grande do Sul,-30.00,-53.50,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Santa Catarina,-27.00,-50.00,Present,,Not recorded,,Not recorded,
 - Sao Paulo,-22.00,-49.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Tocantins,-10.50,-48.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Colombia,4.00,-73.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Ecuador,-1.25,-78.25,Present,,Not recorded,Introduced,Not recorded,Invasive
French Guiana,4.00,-53.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Guyana,5.00,-59.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Peru,-10.00,-75.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Suriname,4.00,-56.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Venezuela,8.00,-66.00,Present,,Not recorded,Introduced,Not recorded,Invasive
